reader_id,age_group,reading_level,favorite_genre,preferred_length
r_00118,12–14,Начальный,Детектив,Короткая
r_00119,15–17,Средний,Фэнтези,Длинная
r_00120,18+,Средний,Современная проза,Короткая
r_00121,18+,Продвинутый,Фэнтези,Длинная
r_00122,18+,Продвинутый,Детектив,Короткая
r_00123,15–17,Средний,Психология,Короткая
r_00124,15–17,Средний,Современная проза,Средняя
r_00125,18+,Продвинутый,История,Длинная
r_00126,15–17,Продвинутый,Приключения,Средняя
r_00127,15–17,Средний,Научпоп,Средняя
r_00128,15–17,Средний,История,Средняя
r_00129,15–17,Средний,Научная фантастика,Длинная
r_00130,15–17,Средний,Научная фантастика,Короткая
r_00131,18+,Продвинутый,Научная фантастика,Длинная
r_00132,15–17,Продвинутый,История,Короткая
r_00133,15–17,Средний,Приключения,Длинная
r_00134,15–17,Средний,История,Короткая
r_00135,18+,Средний,Психология,Длинная
r_00136,15–17,Продвинутый,Современная проза,Средняя
r_00137,15–17,Продвинутый,Научная фантастика,Средняя
r_00138,18+,Продвинутый,Психология,Средняя
r_00139,18+,Средний,История,Длинная
r_00140,12–14,Начальный,Детектив,Длинная
r_00141,12–14,Начальный,Приключения,Средняя
r_00142,15–17,Средний,Детектив,Длинная
r_00143,18+,Продвинутый,Фэнтези,Короткая
r_00144,18+,Средний,Приключения,Средняя
r_00145,18+,Средний,Приключения,Короткая
r_00146,15–17,Начальный,Современная проза,Короткая
r_00147,12–14,Начальный,Фэнтези,Длинная
r_00148,15–17,Средний,Психология,Длинная
r_00149,18+,Продвинутый,История,Средняя
r_00150,18+,Продвинутый,Психология,Короткая
r_00151,15–17,Продвинутый,Детектив,Длинная
r_00152,18+,Начальный,Детектив,Длинная
r_00153,15–17,Начальный,Приключения,Длинная
r_00154,15–17,Начальный,История,Короткая
r_00155,15–17,Средний,Научная фантастика,Длинная
r_00156,12–14,Начальный,Научная фантастика,Длинная
r_00157,18+,Продвинутый,Психология,Длинная
r_00158,12–14,Начальный,Приключения,Средняя
r_00159,12–14,Начальный,Приключения,Средняя
r_00160,12–14,Средний,Психология,Средняя
r_00161,12–14,Начальный,Фэнтези,Средняя
r_00162,15–17,Продвинутый,История,Длинная
r_00163,15–17,Средний,Фэнтези,Длинная
r_00164,15–17,Средний,Детектив,Длинная
r_00165,12–14,Средний,Научпоп,Короткая
r_00166,18+,Средний,История,Средняя
r_00167,15–17,Средний,Научная фантастика,Средняя
r_00168,12–14,Средний,История,Короткая
r_00169,12–14,Начальный,Психология,Длинная
r_00170,15–17,Средний,Современная проза,Длинная
r_00171,15–17,Средний,История,Средняя
r_00172,18+,Средний,Научпоп,Короткая
r_00173,12–14,Начальный,Психология,Короткая
r_00174,12–14,Начальный,Приключения,Длинная
r_00175,15–17,Средний,Фэнтези,Средняя
r_00176,12–14,Средний,Современная проза,Средняя
r_00177,12–14,Начальный,Научпоп,Средняя
r_00178,15–17,Средний,Приключения,Средняя
r_00179,12–14,Начальный,Современная проза,Короткая
r_00180,12–14,Начальный,Фэнтези,Длинная
r_00181,12–14,Начальный,Научная фантастика,Средняя
r_00182,18+,Продвинутый,Современная проза,Короткая
r_00183,18+,Продвинутый,Современная проза,Длинная
r_00184,12–14,Начальный,История,Средняя
r_00185,12–14,Средний,История,Короткая
r_00186,12–14,Начальный,Научпоп,Длинная
r_00187,15–17,Начальный,Современная проза,Средняя
r_00188,12–14,Начальный,Приключения,Короткая
r_00189,12–14,Начальный,Психология,Короткая
r_00190,12–14,Начальный,Современная проза,Длинная
r_00191,18+,Продвинутый,Детектив,Средняя
r_00192,18+,Продвинутый,Научпоп,Длинная
r_00193,15–17,Средний,Приключения,Короткая
r_00194,15–17,Продвинутый,История,Длинная
r_00195,12–14,Начальный,Научпоп,Средняя
r_00196,15–17,Средний,История,Средняя
r_00197,12–14,Продвинутый,Детектив,Короткая
r_00198,15–17,Средний,Приключения,Длинная
r_00199,15–17,Средний,Детектив,Длинная
r_00200,15–17,Начальный,Научпоп,Длинная
r_00201,12–14,Начальный,История,Короткая
r_00202,12–14,Средний,Научпоп,Длинная
r_00203,15–17,Начальный,Детектив,Длинная
r_00204,12–14,Начальный,Научная фантастика,Короткая
r_00205,15–17,Средний,Приключения,Короткая
r_00206,15–17,Средний,Приключения,Короткая
r_00207,12–14,Начальный,Детектив,Длинная
r_00208,15–17,Средний,Научная фантастика,Длинная
r_00209,18+,Продвинутый,Приключения,Средняя
r_00210,15–17,Средний,Приключения,Средняя
r_00211,18+,Средний,Современная проза,Длинная
r_00212,12–14,Средний,Современная проза,Средняя
r_00213,12–14,Начальный,Современная проза,Длинная
r_00214,12–14,Средний,Фэнтези,Длинная
r_00215,15–17,Начальный,Современная проза,Средняя
r_00216,15–17,Средний,Детектив,Средняя
r_00217,12–14,Начальный,История,Средняя
r_00218,18+,Продвинутый,История,Средняя
r_00219,12–14,Начальный,Детектив,Средняя
r_00220,15–17,Средний,Приключения,Длинная
r_00221,12–14,Средний,Современная проза,Короткая
r_00222,18+,Продвинутый,Детектив,Длинная
r_00223,18+,Продвинутый,Фэнтези,Длинная
r_00224,15–17,Средний,Детектив,Короткая
r_00225,12–14,Начальный,История,Длинная
r_00226,18+,Продвинутый,Психология,Короткая
r_00227,15–17,Средний,Фэнтези,Короткая
r_00228,15–17,Продвинутый,Научпоп,Средняя
r_00229,15–17,Средний,Современная проза,Короткая
r_00230,18+,Продвинутый,История,Длинная
r_00231,12–14,Начальный,Научпоп,Средняя
r_00232,18+,Продвинутый,Современная проза,Длинная
r_00233,18+,Продвинутый,Детектив,Средняя
r_00234,15–17,Средний,Детектив,Короткая
r_00235,15–17,Средний,Приключения,Средняя
r_00236,18+,Продвинутый,Психология,Средняя
r_00237,15–17,Начальный,Научная фантастика,Длинная
r_00238,18+,Продвинутый,История,Короткая
r_00239,18+,Продвинутый,Детектив,Длинная
r_00240,12–14,Средний,Научная фантастика,Короткая
r_00241,18+,Продвинутый,История,Средняя
r_00242,15–17,Начальный,Современная проза,Средняя
r_00243,12–14,Начальный,Психология,Длинная
r_00244,15–17,Продвинутый,Научная фантастика,Длинная
r_00245,15–17,Средний,Фэнтези,Короткая
r_00246,15–17,Средний,История,Длинная
r_00247,12–14,Начальный,Фэнтези,Длинная
r_00248,15–17,Продвинутый,Научпоп,Длинная
r_00249,15–17,Продвинутый,Современная проза,Короткая
r_00250,15–17,Продвинутый,Фэнтези,Средняя
r_00251,12–14,Начальный,Приключения,Средняя
r_00252,18+,Продвинутый,Психология,Короткая
r_00253,18+,Средний,Приключения,Короткая
r_00254,12–14,Начальный,Современная проза,Длинная
r_00255,18+,Продвинутый,Научпоп,Средняя
r_00256,18+,Продвинутый,Научпоп,Средняя
r_00257,18+,Продвинутый,Приключения,Короткая
r_00258,15–17,Продвинутый,Научная фантастика,Средняя
r_00259,18+,Средний,История,Короткая
r_00260,12–14,Начальный,Детектив,Короткая
r_00261,12–14,Средний,Фэнтези,Короткая
r_00262,18+,Продвинутый,Детектив,Короткая
r_00263,12–14,Средний,История,Длинная
r_00264,15–17,Продвинутый,Научпоп,Средняя
r_00265,15–17,Средний,Научпоп,Короткая
r_00266,15–17,Продвинутый,Приключения,Длинная
r_00267,12–14,Начальный,Научпоп,Короткая
r_00268,18+,Продвинутый,Приключения,Короткая
r_00269,18+,Продвинутый,История,Короткая
r_00270,15–17,Средний,Современная проза,Средняя
r_00271,15–17,Начальный,Научпоп,Средняя
r_00272,15–17,Средний,Приключения,Длинная
r_00273,12–14,Средний,История,Средняя
r_00274,12–14,Начальный,Приключения,Длинная
r_00275,15–17,Начальный,Приключения,Средняя
r_00276,15–17,Начальный,Приключения,Длинная
r_00277,18+,Продвинутый,Научная фантастика,Короткая
r_00278,12–14,Начальный,Детектив,Короткая
r_00279,15–17,Начальный,Научная фантастика,Короткая
r_00280,15–17,Средний,Научпоп,Средняя
r_00281,15–17,Средний,Детектив,Длинная
r_00282,15–17,Средний,Приключения,Короткая
r_00283,18+,Продвинутый,История,Средняя
r_00284,12–14,Начальный,Приключения,Длинная
r_00285,15–17,Средний,Фэнтези,Длинная
r_00286,18+,Продвинутый,Современная проза,Средняя
r_00287,15–17,Средний,Современная проза,Средняя
r_00288,15–17,Средний,Психология,Короткая
r_00289,15–17,Средний,Научпоп,Средняя
r_00290,18+,Продвинутый,Научная фантастика,Средняя
r_00291,15–17,Продвинутый,Приключения,Длинная
r_00292,15–17,Средний,Детектив,Длинная
r_00293,15–17,Средний,Приключения,Длинная
r_00294,12–14,Начальный,Детектив,Короткая
r_00295,12–14,Начальный,Психология,Средняя
r_00296,12–14,Начальный,Приключения,Короткая
r_00297,15–17,Средний,Фэнтези,Короткая
r_00298,18+,Продвинутый,Психология,Длинная
r_00299,12–14,Начальный,Современная проза,Короткая
r_00300,12–14,Начальный,Фэнтези,Длинная
r_00301,15–17,Средний,Научпоп,Короткая
r_00302,15–17,Начальный,Современная проза,Короткая
r_00303,15–17,Средний,Фэнтези,Средняя
r_00304,18+,Продвинутый,Психология,Длинная
r_00305,12–14,Начальный,Детектив,Длинная
r_00306,18+,Продвинутый,Фэнтези,Средняя
r_00307,18+,Продвинутый,Фэнтези,Короткая
r_00308,12–14,Начальный,Детектив,Средняя
r_00309,18+,Продвинутый,Научная фантастика,Длинная
r_00310,15–17,Средний,Фэнтези,Средняя
r_00311,12–14,Начальный,Психология,Короткая
r_00312,15–17,Средний,Научпоп,Длинная
r_00313,15–17,Начальный,Современная проза,Средняя
r_00314,15–17,Средний,Научная фантастика,Короткая
r_00315,15–17,Продвинутый,Современная проза,Короткая
r_00316,15–17,Продвинутый,История,Средняя
r_00317,18+,Продвинутый,Приключения,Короткая
r_00318,18+,Средний,Научпоп,Длинная
r_00319,15–17,Средний,Научпоп,Короткая
r_00320,18+,Продвинутый,Детектив,Короткая
r_00321,15–17,Продвинутый,Детектив,Средняя
r_00322,15–17,Начальный,Научная фантастика,Короткая
r_00323,15–17,Средний,Детектив,Средняя
r_00324,15–17,Средний,Приключения,Короткая
r_00325,15–17,Средний,Научная фантастика,Длинная
r_00326,18+,Средний,Фэнтези,Короткая
r_00327,15–17,Продвинутый,Приключения,Короткая
r_00328,15–17,Начальный,Детектив,Средняя
r_00329,15–17,Продвинутый,История,Длинная
r_00330,18+,Начальный,Психология,Короткая
r_00331,15–17,Продвинутый,Научная фантастика,Средняя
r_00332,15–17,Средний,Детектив,Длинная
r_00333,15–17,Продвинутый,Фэнтези,Длинная
r_00334,15–17,Средний,Научная фантастика,Длинная
r_00335,12–14,Начальный,Фэнтези,Короткая
r_00336,15–17,Средний,Психология,Короткая
r_00337,12–14,Начальный,Научная фантастика,Средняя
r_00338,18+,Средний,Фэнтези,Длинная
r_00339,18+,Продвинутый,Научпоп,Длинная
r_00340,12–14,Начальный,Современная проза,Короткая
r_00341,18+,Продвинутый,Психология,Короткая
r_00342,18+,Продвинутый,Современная проза,Средняя
r_00343,18+,Средний,Приключения,Короткая
r_00344,12–14,Начальный,Научпоп,Короткая
r_00345,15–17,Средний,Фэнтези,Средняя
r_00346,15–17,Начальный,Научпоп,Средняя
r_00347,15–17,Начальный,Психология,Средняя
r_00348,15–17,Средний,История,Средняя
r_00349,15–17,Средний,Фэнтези,Длинная
r_00350,12–14,Начальный,Детектив,Средняя
r_00351,18+,Средний,Психология,Короткая
r_00352,15–17,Средний,Приключения,Средняя
r_00353,18+,Продвинутый,Детектив,Длинная
r_00354,15–17,Продвинутый,Научная фантастика,Средняя
r_00355,18+,Продвинутый,Научная фантастика,Короткая
r_00356,15–17,Средний,Детектив,Средняя
r_00357,18+,Продвинутый,Современная проза,Средняя
r_00358,15–17,Средний,История,Длинная
r_00359,15–17,Продвинутый,Психология,Длинная
r_00360,15–17,Средний,Детектив,Короткая
r_00361,15–17,Продвинутый,Фэнтези,Длинная
r_00362,15–17,Продвинутый,Фэнтези,Средняя
r_00363,12–14,Начальный,Научная фантастика,Короткая
r_00364,15–17,Начальный,Современная проза,Длинная
r_00365,12–14,Начальный,Современная проза,Средняя
r_00366,12–14,Средний,Фэнтези,Средняя
r_00367,12–14,Начальный,Научпоп,Длинная
r_00368,15–17,Средний,Современная проза,Длинная
r_00369,15–17,Начальный,Приключения,Длинная
r_00370,18+,Продвинутый,Научпоп,Средняя
r_00371,18+,Продвинутый,Приключения,Длинная
r_00372,15–17,Начальный,Современная проза,Средняя
r_00373,18+,Продвинутый,Современная проза,Длинная
r_00374,12–14,Средний,История,Длинная
r_00375,18+,Продвинутый,Научная фантастика,Длинная
r_00376,18+,Средний,Психология,Средняя
r_00377,12–14,Начальный,Детектив,Короткая
r_00378,18+,Продвинутый,Психология,Средняя
r_00379,15–17,Средний,Приключения,Средняя
r_00380,15–17,Средний,Приключения,Длинная
r_00381,15–17,Продвинутый,Научная фантастика,Средняя
r_00382,15–17,Средний,Детектив,Длинная
r_00383,12–14,Начальный,Детектив,Длинная
r_00384,15–17,Продвинутый,Психология,Длинная
r_00385,18+,Средний,Научная фантастика,Короткая
r_00386,18+,Продвинутый,Детектив,Средняя
r_00387,15–17,Средний,Современная проза,Короткая
r_00388,12–14,Начальный,Научпоп,Длинная
r_00389,12–14,Начальный,История,Короткая
r_00390,18+,Продвинутый,Научпоп,Короткая
r_00391,12–14,Средний,Психология,Короткая
r_00392,18+,Продвинутый,Научпоп,Длинная
r_00393,12–14,Начальный,Приключения,Короткая
r_00394,18+,Продвинутый,Фэнтези,Длинная
r_00395,15–17,Средний,Детектив,Средняя
r_00396,15–17,Продвинутый,История,Короткая
r_00397,18+,Продвинутый,Детектив,Средняя
r_00398,15–17,Средний,Психология,Длинная
r_00399,15–17,Начальный,Психология,Средняя
r_00400,12–14,Начальный,История,Длинная
r_00401,12–14,Начальный,Детектив,Средняя
r_00402,15–17,Продвинутый,Научная фантастика,Короткая
r_00403,12–14,Начальный,Современная проза,Средняя
r_00404,15–17,Средний,Научпоп,Длинная
r_00405,18+,Продвинутый,История,Средняя
r_00406,12–14,Начальный,Приключения,Короткая
r_00407,15–17,Средний,Научная фантастика,Короткая
r_00408,15–17,Средний,Современная проза,Средняя
r_00409,15–17,Начальный,Приключения,Короткая
r_00410,12–14,Начальный,Современная проза,Короткая
r_00411,12–14,Начальный,Детектив,Короткая
r_00412,12–14,Начальный,Фэнтези,Короткая
r_00413,15–17,Начальный,Детектив,Средняя
r_00414,15–17,Средний,Современная проза,Средняя
r_00415,15–17,Продвинутый,Приключения,Средняя
r_00416,15–17,Продвинутый,Фэнтези,Короткая
r_00417,12–14,Начальный,Психология,Длинная
r_00418,15–17,Средний,Современная проза,Короткая
r_00419,12–14,Средний,Научная фантастика,Длинная
r_00420,12–14,Начальный,Современная проза,Короткая
r_00421,15–17,Средний,Детектив,Короткая
r_00422,18+,Продвинутый,Научная фантастика,Короткая
r_00423,12–14,Начальный,Детектив,Средняя
r_00424,15–17,Средний,Современная проза,Средняя
r_00425,12–14,Средний,Научная фантастика,Длинная
r_00426,18+,Средний,История,Длинная
r_00427,12–14,Средний,Научпоп,Длинная
r_00428,15–17,Продвинутый,История,Длинная
r_00429,18+,Продвинутый,Психология,Средняя
r_00430,18+,Продвинутый,Психология,Короткая
r_00431,18+,Продвинутый,Психология,Средняя
r_00432,15–17,Средний,Научпоп,Короткая
r_00433,12–14,Начальный,Фэнтези,Длинная
r_00434,12–14,Начальный,Психология,Короткая
r_00435,12–14,Начальный,Научпоп,Длинная
r_00436,18+,Средний,Приключения,Длинная
r_00437,12–14,Начальный,Психология,Короткая
r_00438,12–14,Начальный,Психология,Короткая
r_00439,15–17,Средний,Детектив,Длинная
r_00440,18+,Продвинутый,Приключения,Короткая
r_00441,15–17,Продвинутый,Фэнтези,Длинная
r_00442,18+,Продвинутый,Научная фантастика,Длинная
r_00443,18+,Продвинутый,Научпоп,Короткая
r_00444,15–17,Средний,Психология,Короткая
r_00445,15–17,Средний,Фэнтези,Средняя
r_00446,12–14,Начальный,Научная фантастика,Короткая
r_00447,15–17,Средний,Приключения,Длинная
r_00448,12–14,Начальный,Научная фантастика,Средняя
r_00449,15–17,Средний,История,Средняя
r_00450,12–14,Начальный,Фэнтези,Длинная
r_00451,12–14,Средний,История,Средняя
r_00452,12–14,Начальный,Научпоп,Короткая
r_00453,12–14,Начальный,Приключения,Длинная
r_00454,15–17,Продвинутый,Современная проза,Короткая
r_00455,15–17,Продвинутый,Фэнтези,Средняя
r_00456,18+,Продвинутый,Научпоп,Короткая
r_00457,15–17,Начальный,История,Короткая
r_00458,15–17,Средний,Фэнтези,Короткая
r_00459,15–17,Средний,Приключения,Средняя
r_00460,18+,Продвинутый,Фэнтези,Длинная
r_00461,12–14,Начальный,Фэнтези,Средняя
r_00462,15–17,Начальный,Научная фантастика,Короткая
r_00463,18+,Продвинутый,Фэнтези,Короткая
r_00464,15–17,Средний,Научпоп,Короткая
r_00465,12–14,Начальный,Детектив,Средняя
r_00466,15–17,Средний,Современная проза,Длинная
r_00467,18+,Продвинутый,Современная проза,Короткая
r_00468,12–14,Начальный,Приключения,Средняя
r_00469,12–14,Начальный,Научная фантастика,Короткая
r_00470,18+,Средний,Фэнтези,Короткая
r_00471,15–17,Средний,Научная фантастика,Средняя
r_00472,15–17,Средний,Психология,Короткая
r_00473,15–17,Средний,Детектив,Короткая
r_00474,15–17,Продвинутый,Фэнтези,Средняя
r_00475,12–14,Начальный,Современная проза,Средняя
r_00476,12–14,Начальный,Научная фантастика,Короткая
r_00477,15–17,Продвинутый,Фэнтези,Средняя
r_00478,15–17,Средний,Научная фантастика,Короткая
r_00479,18+,Продвинутый,Детектив,Короткая
r_00480,12–14,Начальный,Психология,Короткая
r_00481,15–17,Средний,Научная фантастика,Короткая
r_00482,15–17,Начальный,Научная фантастика,Средняя
r_00483,12–14,Начальный,Научная фантастика,Короткая
r_00484,15–17,Средний,Научная фантастика,Средняя
r_00485,15–17,Средний,Научная фантастика,Средняя
r_00486,12–14,Начальный,Научпоп,Длинная
r_00487,18+,Продвинутый,Научпоп,Короткая
r_00488,12–14,Начальный,Современная проза,Средняя
r_00489,12–14,Средний,История,Короткая
r_00490,12–14,Начальный,Современная проза,Короткая
r_00491,18+,Продвинутый,История,Длинная
r_00492,15–17,Средний,Психология,Короткая
r_00493,15–17,Средний,Приключения,Длинная
r_00494,15–17,Средний,Фэнтези,Средняя
r_00495,18+,Средний,Психология,Короткая
r_00496,15–17,Средний,История,Средняя
r_00497,12–14,Начальный,Научная фантастика,Короткая
r_00498,18+,Средний,Современная проза,Короткая
r_00499,18+,Средний,Фэнтези,Короткая
r_00500,12–14,Начальный,Современная проза,Длинная
r_00501,15–17,Начальный,Фэнтези,Длинная
r_00502,15–17,Начальный,Приключения,Средняя
r_00503,15–17,Начальный,Научная фантастика,Длинная
r_00504,12–14,Начальный,История,Длинная
r_00505,15–17,Средний,Научная фантастика,Средняя
r_00506,15–17,Продвинутый,Приключения,Короткая
r_00507,12–14,Средний,Приключения,Средняя
r_00508,15–17,Средний,Научпоп,Длинная
r_00509,12–14,Начальный,История,Длинная
r_00510,15–17,Средний,История,Длинная
r_00511,18+,Продвинутый,Фэнтези,Длинная
r_00512,18+,Средний,История,Средняя
r_00513,12–14,Начальный,Приключения,Средняя
r_00514,18+,Средний,Психология,Короткая
r_00515,15–17,Средний,Приключения,Длинная
r_00516,18+,Продвинутый,Детектив,Средняя
r_00517,15–17,Средний,Детектив,Короткая
r_00518,18+,Продвинутый,Психология,Длинная
r_00519,15–17,Средний,Современная проза,Средняя
r_00520,12–14,Средний,Научная фантастика,Короткая
r_00521,15–17,Средний,Научная фантастика,Короткая
r_00522,12–14,Начальный,История,Короткая
r_00523,18+,Продвинутый,Приключения,Средняя
r_00524,15–17,Средний,Научпоп,Длинная
r_00525,18+,Продвинутый,Приключения,Длинная
r_00526,15–17,Средний,Научпоп,Средняя
r_00527,15–17,Средний,Фэнтези,Длинная
r_00528,15–17,Средний,Фэнтези,Длинная
r_00529,15–17,Продвинутый,Психология,Длинная
r_00530,12–14,Начальный,Научная фантастика,Длинная
r_00531,15–17,Продвинутый,Детектив,Средняя
r_00532,15–17,Начальный,Детектив,Средняя
r_00533,12–14,Начальный,Научная фантастика,Короткая
r_00534,12–14,Продвинутый,Научпоп,Короткая
r_00535,15–17,Продвинутый,Научная фантастика,Длинная
r_00536,12–14,Начальный,История,Короткая
r_00537,15–17,Средний,История,Длинная
r_00538,18+,Средний,Приключения,Длинная
r_00539,15–17,Средний,Приключения,Средняя
r_00540,18+,Средний,История,Длинная
r_00541,15–17,Продвинутый,История,Длинная
r_00542,15–17,Средний,Детектив,Длинная
r_00543,15–17,Средний,Психология,Длинная
r_00544,15–17,Средний,Современная проза,Средняя
r_00545,18+,Продвинутый,Приключения,Короткая
r_00546,18+,Продвинутый,Современная проза,Короткая
r_00547,18+,Продвинутый,Научная фантастика,Средняя
r_00548,18+,Средний,Психология,Короткая
r_00549,15–17,Начальный,Научная фантастика,Короткая
r_00550,15–17,Средний,Современная проза,Короткая
r_00551,18+,Продвинутый,Фэнтези,Короткая
r_00552,12–14,Начальный,Научная фантастика,Короткая
r_00553,15–17,Средний,История,Длинная
r_00554,12–14,Начальный,История,Средняя
r_00555,12–14,Средний,Приключения,Средняя
r_00556,15–17,Продвинутый,История,Средняя
r_00557,15–17,Средний,Научная фантастика,Длинная
r_00558,15–17,Средний,Психология,Средняя
r_00559,15–17,Средний,История,Длинная
r_00560,15–17,Средний,Научная фантастика,Длинная
r_00561,15–17,Начальный,Психология,Средняя
r_00562,15–17,Начальный,Научная фантастика,Средняя
r_00563,12–14,Средний,История,Короткая
r_00564,15–17,Средний,Фэнтези,Длинная
r_00565,12–14,Начальный,Психология,Средняя
r_00566,15–17,Средний,История,Короткая
r_00567,15–17,Продвинутый,Научпоп,Короткая
r_00568,15–17,Продвинутый,Психология,Средняя
r_00569,15–17,Средний,Детектив,Длинная
r_00570,12–14,Средний,Приключения,Длинная
r_00571,15–17,Начальный,Фэнтези,Короткая
r_00572,15–17,Продвинутый,История,Средняя
r_00573,15–17,Средний,Современная проза,Короткая
r_00574,15–17,Начальный,Современная проза,Короткая
